token,count
我,25620
不,16323
一,13613
有,12351
个,9534
你,9029
这,8556
好,7458
没,7298
人,6727
就,6483
来,6285
么,5979
还,5797
要,5659
可,5162
上,5149
大,5057
看,5053
天,4842
吗,4809
学,4795
去,4767
都,4637
以,4537
到,4534
那,4456
点,4229
下,4146
们,3996
也,3890
哈,3828
能,3667
会,3621
时,3433
跑,3277
囊,3252
啊,3229
多,3148
说,3144
小,3037
他,2939
过,2889
打,2868
子,2700
后,2696
吃,2687
出,2524
想,2522
得,2462
吧,2378
群,2369
什,2354
生,2351
为,2348
里,2327
给,2321
自,2318
行,2240
家,2211
知,2200
开,2164
玩,2130
面,2117
发,2051
真,2023
现,1981
很,1960
感,1894
怎,1891
高,1889
课,1885
道,1877
只,1833
实,1831
对,1831
觉,1828
长,1790
太,1790
前,1739
校,1704
啥,1696
用,1683
加,1652
分,1646
今,1626
三,1617
中,1609
之,1606
起,1589
然,1582
全,1577
年,1529
机,1513
新,1512
动,1506
完,1497
最,1496
进,1496
手,1489
