token,count
你,108
我,107
小,93
好,78
人,76
加,68
纺,64
目,63
友,55
这,52
前,49
群,46
可,46
吗,45
们,45
以,44
不,44
为,44
聊,43
添,40
个,38
试,33
项,33
天,30
调,30
学,29
就,29
已,28
会,28
机,28
有,27
啦,27
么,26
成,26
开,26
始,26
功,25
现,25
里,20
果,19
话,19
也,19
之,18
进,18
测,18
感,17
兴,17
趣,17
新,17
号,17
上,17
版,17
行,17
真,17
姐,17
来,16
请,16
求,16
接,16
ai,16
生,16
直,16
自,15
本,15
研,15
骚,15
扰,15
做,15
如,15
朋,15
刷,14
还,13
消,13
息,13
什,12
武,12
大,12
回,12
啊,11
怎,11
健,11
身,11
一,10
猫,10
屏,10
游,10
戏,10
诏,10
晚,9
参,9
赛,9
棒,9
欸,9
书,9
想,8
吧,8
看,8
心,8
阴,8
谋,8
